Name,Category,Tags,Location,County,Price Range Â£,Website
Rowallane Garden,National Trust,Garden,Saintfield,Down,5-10,https://www.nationaltrust.org.uk/rowallane-garden
Castle Ward,National Trust,,Strangford,Down,5-10,https://www.nationaltrust.org.uk/castle-ward
Mount Stewart,National Trust,Garden,Newtownards,Down,-,https://www.nationaltrust.org.uk/mount-stewart
Funky Monkeys Cityside,Soft Play,,Belfast,Antrim,1-5,https://funkymonkeys.co/our-centres/cityside-belfast/
Happytown,Soft Play,,Newtownards,Down,2-6,http://happytown.uk.com/
Jumpin Jacks,Soft Play,,Lisburn,Antrim/Down,1-6,https://www.jumpingjacksni.co.uk/
High Rise,Soft Play,,Lisburn,Antrim/Down,2-5,https://highriseni.org/soft-play/
We are Vertigo,Soft Play,, Newtownbreda,Down,7,https://www.wearevertigo.com/
Funworks,Soft Play,,Glengormley,Antrim,3-5,http://www.funworksplay.co.uk
Funtastic,Soft Play,,Dundonald,Down,3-5,http://funtastic-play.com/
Antrim Forum,Soft Play,Pool,Antrim,Antrim,3-5,https://antrimandnewtownabbey.gov.uk/antrimforum/
Laganvale,Soft Play,Farm,Lisburn,Antrim/Down,5,http://www.laganvalefarm.com/
Dobbies,Soft Play,Cafe,Lisburn,Antrim/Down,-,https://www.dobbies.com/find-a-garden-centre/lisburn
Global Adventures Ballynahinch,Soft Play,,Ballynahinch,Down,,https://m.facebook.com/pg/GlobalAdventurePlays/about/
Roar and Explore,Soft Play,,Dunmurry,Antrim,2-5,https://www.roarandexplore.com
Wallace Park,Parks/Walks,,Lisburn,Antrim/Down,0,https://www.lisburncastlereagh.gov.uk/things-to-do/parks-and-open-spaces/wallace-park
Pickie Fun Park,Parks/Walks,"Cafe,Playground",Bangor,Down,0,https://www.pickiefunpark.com
Montalto Estate,Parks/Walks,,Ballynahinch,Down,5-10,https://montaltoestate.com
Antrim Castle Gardens,Parks/Walks,Castle,Antrim,Antrim,-,https://antrimgardens.com/the-gardens/antrim-castle-gardens/
Carnfunnock County Park,Parks/Walks,,Larne,Antrim,5-10,http://www.carnfunnock.co.uk
Hillsborough Forest,Parks/Walks,,Hillsborough,Down,0,https://discovernorthernireland.com/Hillsborough-Forest-Hillsborough-P3400/
Colin Glen,Parks/Walks,,Dunmurry,Antrim,0,https://www.colinglen.org/
Drum Manor,Parks/Walks,,Cookstown,Tyrone,0,https://www.nidirect.gov.uk/articles/drum-manor-forest-park
Slieve Guillon,Parks/Walks,,Meigh,Armagh,0,http://walkni.com/walks/slieve-gullion/
Peatlands Park,Parks/Walks,,Dungannon,Armagh,0,https://discovernorthernireland.com/Peatlands-Park-Dungannon-P2847/
Castlewellan,Parks/Walks,,Castlewellan,Down,0-10,https://discovernorthernireland.com/Castlewellan-Forest-Park-Peace-Maze-Castlewellan-P2881/
Stormount Mo Mowlam Playground,Playground,,Belfast,Down,0,https://www.nidirect.gov.uk/articles/mo-mowlam-play-park-children
Cafe Vic-Ryn,Cafe,,Lisburn,Antrim,5-10,https://thehouseofvicryn.com/stores/cafe-vic-ryn/
Hillmount,Cafe,,Belfast,Down,5-10,https://www.hillmount.co.uk/gardeners-rest-cafe
Streamvale,Farm,,Belfast,Down,0-8,https://streamvale.com/
Ark Open Farm,Farm,,Bangor,Down,6-7,https://www.thearkopenfarm.co.uk/
Mountpanther,Farm,,Clough,Down,6-10,http://mountpanther.com/
Watertop Farm,Farm,,Ballycastle,Antrim,3,http://www.watertopfarm.co.uk/
Causeway fun farm,Farm,,Bushmills,Antrim,3-7,https://www.facebook.com/causewayfunfarm/
Fort Evergreen,Farm,,Warrenport,Down,0-7,https://www.fortevergreen.co.uk/
Castle Espie,Farm,,Comber,Down,4-8,https://www.wwt.org.uk/wetland-centres/castle-espie/
Drumawhey Trains,Trains,,Donaghadee,Down,2-3,https://www.drumawhey.com/
Belfast Castle,Castle,,Belfast,Antrim,,https://www.belfastcastle.co.uk/
Lisburn Leisureplex,Pool,,Lisburn,Antrim/Down,5-10,https://www.theleisureplex.com/
Quality Time,Playground,,Banbridge,Down,5,https://www.qualitytimeni.com/
Rainbow Gymnastics,Gymnastics,,Dundonald,Down,50,https://www.rainbowgymclub.com/
Salto Gymnastics,Gymnastics,,Lisburn,Antrim/Down,50,http://www.saltogymnastics.com/
Belfast Zoo,Animal Park,,Belfast,Antrim,6-13,http://www.belfastzoo.co.uk/
Exploris Aquarium,Aquarium,,Portaferry,Down,0-11,https://www.explorisni.com/
Ice Bowl,Active,,Dundonald,Down,5-10,https://www.theicebowl.com/
Ulster Folk and Transport Museum                                                                                                                                                                                                                        ,Museum,,Hollywood,Down,6-11,https://www.nmni.com/our-museums/Ulster-Folk-Museum/Home.aspx
Ulster Museum,Museum,,Belfast,Down,0,https://www.nmni.com/our-museums/ulster-museum/Home.aspx
Barry's Amusements,Amusements,,Portrush,Antrim,0,https://barrysamusements.com/
Carrickfergus Castle,Castle,,Carrickfergus,Antrim,3-5,https://discovernorthernireland.com/Carrickfergus-Castle-Carrickfergus-P2814/
Whiterocks,Beaches,,Portrush,Antrim,0,https://discovernorthernireland.com/Whiterocks-Beach-Portrush-Portrush-P7439/
Armagh Planetarium,Educational,Planetarium,Armagh,Armagh,5-8,https://armagh.space/
W5,Educational,,Belfast,Down,6-7,https://w5online.co.uk/